yhyh 一一
hzxy 黄宗羲
hzyc 黄宗英
hdyg 黄定宇
hjqa 黄家强
hjny 黄家诺
hjjm 黄家驹
hbhc 黄宾虹
hxjq 黄小晶
hxzm 黄小桢
hssw 黄山市
hdqk 黄岛区
hygd 黄岩港
hbbz 黄巴巴
hdlv 黄帝陵
htjt 黄庭坚
hjhs 黄建华
hjfn 黄建福
hzqa 黄志强
hspj 黄手帕
hzyg 黄振宇
hjsf 黄教授
hrhs 黄日华
hmjv 黄明胶
hhlx 黄昏恋
hxmi 黄晓明
hqmv 黄曲霉
hymh 黄杨木
hymc 黄杨苗
hgsm 黄果树
hmte 黄梅天
hmjh 黄梅季
hmxy 黄梅戏
hmyh 黄梅雨
hdza 黄段子
hsjq 黄水晶
hscb 黄水疮
hyyw 黄永玉
hysv 黄永胜
hjzj 黄江镇
hhki 黄河口
hhss 黄河水
hhwk 黄河网
hhlz 黄河路
hhsy 黄河颂
hyqm 黄油枪
hqlz 黄泉路
hfqk 黄泛区
hpqk 黄浦区
hpjd 黄浦江
hhru 黄浩然
hhbd 黄海波
hshx 黄淑惠
hhhd 黄淮海
hccd 黄澄澄
hddd 黄澄澄
hcch 黄灿灿
hypt 黄炎培
hrbb 黄热病
hmjy 黄焖鸡
hpvu 黄片儿
hndv 黄牛党
hymd 黄玉米
hylv 黄玉郎
hmgw 黄玫瑰
hgpu 黄瓜片
hdxt 黄疸型
hbmk 黄百鸣
hpsz 黄皮书
hpfv 黄皮肤
hzzs 黄真真
hszm 黄石寨
hslz 黄石路
hyxj 黄禹锡
hqsn 黄秋生
hzrp 黄种人
hfcs 黄粉虫
hlmx 黄粱梦
hzbm 黄纸板
hjgx 黄继光
hqsw 黄绮珊
hlsd 黄绿色
hlhd 黄老汉
hlpn 黄脸婆
hswk 黄色网
hhgs 黄花岗
hhlm 黄花梨
hhsb 黄花瘦
hhcc 黄花菜
hhyp 黄花鱼
hycc 黄芽菜
hyza 黄药子
hysj 黄药师
hwbb 黄萎病
hfdv 黄蜂队
hbzj 黄表纸
hhbw 黄褐斑
hhsd 黄褐色
hdde 黄豆大
hdyc 黄豆芽
hddh 黄豆豆
hbls 黄贝岭
hgzi 黄贯中
hddm 黄赌毒
hlmh 黄连木
hlsx 黄连素
hdpn 黄道婆
hddj 黄道带
htlm 黄酮类
hjkb 黄金卡
hjzk 黄金周
hjbg 黄金宝
hjws 黄金屋
hjds 黄金岛
hjlm 黄金梨
hjhm 黄金槐
hjbp 黄金版
hjjq 黄金甲
hjyi 黄金眼
hjrm 黄金荣
hjgo 黄金高
htks 黄铁矿
htks 黄铜矿
hxbb 黄锈病
hzdh 黄镇东
hylh 黄雅丽
hrdj 黄韧带
hywk 黄页网
hfhh 黄飞虎
hfhd 黄飞鸿
hmgn 黄马褂
hhsw 黄骅市
hhgd 黄骅港
hbmz 黄骠马
hgsg 黄骨髓
hhlm 黄鹤楼
hslq 黄鼠狼
hlst 黄龙寺
hldd 黄龙洞
hmkg 黉门客
lyhd 黎元洪
lxts 黎小田
lbnn 黎巴嫩
ldfc 黎得芳
lmxn 黎美娴
nhjl 黏合剂
ntzs 黏土砖
ndjy 黏度计
nxza 黏涎子
nzla 黏着力
nzyy 黏着语
nhhm 黏糊糊
njxl 黏结性
hybu 黑与白
hswn 黑丝袜
hzjr 黑中介
hwwp 黑乌乌
hhhp 黑乎乎
hldb 黑了点
hymz 黑云母
hwlm 黑五类
htzg 黑体字
hzft 黑作坊
hgdh 黑光灯
hgho 黑公话
hdxt 黑典型
hjlr 黑加仑
hsla 黑势力
hhfv 黑化肥
hxza 黑匣子
hbst 黑博士
hlsk 黑历史
hyyc 黑压压
hylw 黑又亮
hssy 黑叔叔
hchs 黑吃黑
hjll 黑吉辽
hmch 黑名册
hmdb 黑名单
hhhk 黑呼呼
hpjd 黑啤酒
htdt 黑土地
hmss 黑墨水
hyli 黑夜里
htvn 黑天鹅
htyv 黑太阳
htfy 黑头发
hhjr 黑婚介
hkwk 黑客网
hgfn 黑寡妇
hsyd 黑山羊
hsqs 黑市拳
hbpu 黑帮片
hgjz 黑干将
hyys 黑幽幽
hxmm 黑心棉
hxqj 黑心钱
hsdv 黑手党
hsjm 黑手机
hbbb 黑斑病
hxfp 黑旋风
hqjg 黑旗军
hwcj 黑无常
hjjq 黑晶晶
hvzi 黑暗中
hvdb 黑暗的
hvme 黑暗面
hysh 黑曜石
hmtm 黑木瞳
hmvh 黑木耳
hclm 黑材料
hjks 黑杰克
hbsi 黑板上
hbbf 黑板报
hbcf 黑板擦
hgvx 黑格尔
hslm 黑森林
hssm 黑森森
hwst 黑武士
hsbb 黑死病
hsjq 黑水晶
hshd 黑水河
hccd 黑沉沉
hhsw 黑河市
hyyd 黑油油
hzmi 黑泽明
hddd 黑洞洞
hlld 黑溜溜
hqqd 黑漆漆
hhyc 黑火药
hrbb 黑热病
hxxq 黑猩猩
hzzw 黑珍珠
hgza 黑瓜子
hbps 黑白屏
hbqm 黑白棋
hbhh 黑白灰
hbzl 黑白照
hbpu 黑白片
hhza 黑盒子
hyqk 黑眼圈
hyzw 黑眼珠
hyjm 黑眼睛
hxza 黑瞎子
hsjs 黑石礁
hshu 黑社会
hzrp 黑种人
hkjf 黑科技
hsbb 黑穗病
hwdb 黑窝点
hmzg 黑米粥
hfbb 黑粉病
hhhm 黑糊糊
hnmd 黑糯米
hwbk 黑网吧
hmrp 黑美人
hlde 黑老大
hzjr 黑职介
hbqh 黑背犬
hhtm 黑胡桃
hhjm 黑胡椒
hjds 黑胶碟
hjcj 黑胶绸
httv 黑腾腾
hsdj 黑色带
hssx 黑色素
hzmd 黑芝麻
hmmc 黑茫茫
hmms 黑蒙蒙
hmyc 黑蚂蚁
hbfc 黑蝙蝠
hqza 黑裙子
hhsd 黑褐色
hzsj 黑诊所
hzfm 黑转粉
hdvu 黑道儿
hjgl 黑金刚
hjss 黑金属
hgth 黑钙土
hjto 黑镜头
hczs 黑长直
hfzd 黑非洲
hmbb 黑面包
hjhn 黑颈鹤
hqst 黑骑士
hxxg 黑魆魆
hmfd 黑魔法
hmcc 黑麦草
hyyh 黑黝黝
hqqh 黑黢黢
hlhu 黑龙会
hljd 黑龙江
hltd 黑龙潭
qdne 黔东南
qzlm 黔之驴
qnzd 黔南州
qjqk 黔江区
qxne 黔西南
mbsm 默伯桑
mkvx 默克尔
mdks 默多克
msdh 默沙东
mslx 默示录
mrwo 默认为
mrzr 默认值
mryh 默认页
mmdt 默默地
mmdt 默默地
dlxj 黛力新
dvnn 黛安娜
dcqk 鼎城区
dhqk 鼎湖区
dhss 鼎湖山
dsqq 鼎盛期
gydv 鼓乐队
gvcy 鼓儿词
gdxl 鼓动性
gljp 鼓励金
gczt 鼓吹者
gnnh 鼓囊囊
gwqk 鼓外圈
glys 鼓浪屿
glld 鼓溜溜
gdza 鼓点子
gzzv 鼓胀胀
gttv 鼓腾腾
gfjm 鼓风机
gflh 鼓风炉
swcc 鼠尾草
sqcc 鼠曲草
sbqk 鼠标器
sbdt 鼠标垫
sbhg 鼠标宏
sbsu 鼠标手
sbjj 鼠标键
slsg 鼠笼式
sxgp 鼠须管
bzgv 鼻中隔
byyd 鼻元音
bcxp 鼻出血
bcxp 鼻出血
byyh 鼻咽炎
byvb 鼻咽癌
bcgd 鼻唇沟
bzyi 鼻子眼
bzzt 鼻子走
bxrk 鼻息肉
bpdx 鼻旁窦
blvu 鼻梁儿
blgs 鼻梁骨
blgp 鼻泪管
bwza 鼻洼子
btcs 鼻涕虫
bypu 鼻炎片
byht 鼻烟壶
bnvu 鼻牛儿
bdyh 鼻窦炎
bzmv 鼻粘膜
bcvu 鼻翅儿
bymz 鼻韵母
bnmv 鼻黏膜
wbvu 齆鼻儿
nbvu 齉鼻儿
qzyr 齐之以
qllx 齐乐乐
qyss 齐云山
qlhd 齐刘海
qssl 齐刷刷
qtde 齐天大
qwwh 齐威王
qzzs 齐崭崭
qjgu 齐景公
qglg 齐格勒
qhgu 齐桓公
qcjj 齐次解
qbzt 齐步走
qbsh 齐白石
qdni 齐达内
qjcc 齐金蝉
qchk 齐齿呼
chyd 齿后音
ccyd 齿唇音
clch 齿轮厂
clyd 齿轮油
clbs 齿轮泵
clxp 齿轮箱
clzc 齿轮轴
wcse 龌龊事
lzwk 龙之吻
lzgi 龙之国
lzmx 龙之梦
lzwp 龙之舞
lyfa 龙云飞
ljcm 龙井村
ljcc 龙井茶
ljlz 龙井路
lfqk 龙凤区
lfdd 龙凤斗
lftv 龙凤胎
lfpy 龙凤配
lhst 龙华寺
lhlz 龙华路
lhzj 龙华镇
ljfp 龙卷风
lksw 龙口市
lttv 龙图腾
ltza 龙太子
ltlv 龙太郎
ltss 龙头山
ltgv 龙头股
lrfp 龙如风
lzfj 龙子幡
lvqk 龙安区
lgdd 龙宫洞
lsyf 龙少爷
lsst 龙山寺
lszg 龙山庄
lgqk 龙岗区
lysw 龙岩市
lqxs 龙庆峡
lyts 龙应台
lzst 龙战士
lcsu 龙抄手
ltto 龙抬头
lsyp 龙摄影
lxma 龙新民
lxfp 龙旋风
lwwt 龙无畏
lryh 龙日一
lbqw 龙柏球
lbmc 龙柏苗
ljjl 龙江剧
ljlz 龙江路
ljzj 龙江镇
lqjl 龙泉剑
lqst 龙泉寺
lqsw 龙泉市
lqcm 龙泉村
lqyx 龙泉窑
lqlz 龙泉路
lqzj 龙泉镇
lhsw 龙海市
lxxh 龙涎香
lgzj 龙港镇
ltst 龙潭寺
lthd 龙潭湖
lzhm 龙爪槐
llzr 龙狼传
lwmg 龙王庙
lwyf 龙王爷
lysm 龙眼树
lyrk 龙眼肉
lymc 龙眼蜜
lkjf 龙科技
lyxs 龙羊峡
ldzx 龙胆紫
ldhc 龙胆花
ldcc 龙胆草
lbsi 龙背上
lslb 龙舌兰
lzjc 龙舟节
lzsb 龙舟赛
lzdv 龙舟队
lcdy 龙船调
lhss 龙虎山
lhdd 龙虎斗
lhbm 龙虎榜
lhwk 龙虎网
lhbz 龙虎豹
lhmo 龙虎门
lxjc 龙虾节
lxsm 龙血树
lnte 龙逆天
lmbl 龙门刨
lmxs 龙门县
lmdk 龙门吊
lmjm 龙门架
lmzv 龙门阵
lylz 龙阳路
lxgd 龙须沟
lxcc 龙须草
lxcc 龙须菜
lxme 龙须面
lfhh 龙飞虎
lqbb 龙骑兵
lqst 龙骑士
lgch 龙骨车
gzcz 龚智超
glnn 龚琳娜
gzzw 龚自珍
gsjt 龚诗嘉
gvza 龟儿子
gtsi 龟头上
gtyh 龟头炎
gjjv 龟甲胶
gbzp 龟背竹
glgw 龟苓膏
yylj 一一列举
yydy 一一对应
yyys 一一映射
yyll 一一罗列
yyzs 一一赘述
yydl 一一道来
ydbs 一丁不识
yddv 一丁点儿
ywdg 一万多个
ysyx 一上一下
yxfj 一下飞机
ybyz 一不压众
ybxx 一不小心
ybpk 一不怕苦
ybnz 一不扭众
ybzy 一不注意
ybls 一不留神
yzdn 一专多能
yszx 一世之雄
ysym 一世英名
yslm 一世龙门
yqyh 一丘一壑
yqzh 一丘之貉
ysyh 一丝一毫
ysyl 一丝一缕
ysbl 一丝不乱
ysbg 一丝不挂
ysbw 一丝不紊
ysbg 一丝不苟
yslq 一丝两气
ysbs 一丝半粟
ysbl 一丝半缕
ylgy 一两个月
yljh 一两句话
ylnn 一两年内
ygyg 一个一个
ygsj 一个世界
ygsj 一个世纪
ygdx 一个东西
ygzg 一个中国
ygzn 一个中年
ygzx 一个中心
ygsq 一个事情
ygrz 一个人住
ygrd 一个人的
ygry 一个人要
ygrz 一个人走
yglz 一个例子
yggx 一个关系
yghs 一个函数
ygbf 一个办法
ygjv 一个劲儿
ygjd 一个劲地
ygjd 一个劲的
ygbg 一个半个
ygby 一个半月
ygyy 一个原因
ygjz 一个叫做
yghg 一个合格
ygmv 一个名额
yggj 一个国家
ygdx 一个地下
ygdf 一个地方
ygcs 一个城市
ygdy 一个多月
ygts 一个天上
ygnr 一个女人
ygnh 一个女孩
ygns 一个女生
ygzv 一个子儿
ygzm 一个字母
ygjd 一个季度
ygxq 一个学期
yghz 一个孩子
ygxh 一个小孩
ygxx 一个小小
ygxs 一个小时
ygjs 一个就是
ygpf 一个平凡
ygdl 一个当俩
ygxy 一个心眼
ygjx 一个惊喜
ygys 一个意思
ygyd 一个愿打
ygyv 一个愿挨
ygfj 一个房间
yggs 一个故事
ygfx 一个方向
ygfm 一个方面
ygsd 一个时代
ygsq 一个时期
ygsc 一个时辰
ygxq 一个星期
ygws 一个晚上
ygpt 一个普通
ygyn 一个月内
ygyq 一个月前
ygyh 一个月后
ygyd 一个月的
ygpy 一个朋友
ygjh 一个机会
ygtj 一个条件
ygyz 一个样子
ygmz 一个模子
ygbz 一个步骤
ygmz 一个民族
ygxx 一个消息
ygvh 一个爱好
ygxx 一个现象
ygnr 一个男人
ygnh 一个男孩
ygys 一个眼神
ygsj 一个瞬间
yglb 一个礼拜
ygsh 一个社会
ygjb 一个箭步
ygml 一个美丽
ygvg 一个耳光
ygjd 一个角度
ygjs 一个角色
ygjs 一个角色
ygdl 一个道理
ygbf 一个部分
ygzy 一个重要
ygzt 一个钟头
ygwt 一个问题
ygms 一个陌生
ygdl 一个顶俩
ygpd 一个频道
yclz 一串骊珠
yjyd 一举一动
yjwl 一举万里
yjsf 一举三反
yjsd 一举三得
yjlb 一举两便
yjlq 一举两全
yjld 一举两得
yjzb 一举中标
yjql 一举千里
yjdd 一举多得
yjcw 一举成为
yjcg 一举成功
yjcm 一举成名
yzws 一之为甚
yzys 一之已甚
yzws 一之谓甚
yjjy 一九九一
yjjq 一九九七
yjjs 一九九三
yjjj 一九九九
yjjv 一九九二
yjjw 一九九五
yjjb 一九九八
yjjl 一九九六
yjjs 一九九四
yjby 一九八一
yjbq 一九八七
yjbs 一九八三
yjbj 一九八九
yjbv 一九八二
yjbw 一九八五
yjbb 一九八八
yjbl 一九八六
yjbs 一九八四
yltd 一乱涂地
ylbl 一了百了
ylbd 一了百当
ylbd 一了百当
yzgx 一争高下
ysbz 一事不知
yswc 一事无成
yvss 一二三四
ywys 一五一十
yxdx 一些东西
yxsq 一些事情
yxrd 一些人的
yxzf 一些做法
yxbx 一些半些
yxdw 一些单位
yxyy 一些原因
yxgj 一些国家
yxdq 一些地区
yxdf 一些地方
yxvp 一些安排
yxqk 一些情况
yxfm 一些方面
yxrz 一些日子
yxsh 一些时候
yxsj 一些时间
yxzw 一些植物
yxlr 一些老人
yxwt 一些问题
yqfz 一亲芳泽
yryp 一人一票
yrzx 一人之下
yrzj 一人之交
yrzl 一人之力
yrcx 一人传虚
yrfs 一人分饰
yrcb 一人吃饱
yrss 一人善射
yrdd 一人得道
yryq 一人有庆
ypvz 一仆二主
yjbq 一介不取
yjbg 一介不苟
yjzs 一介之善
yjzs 一介之士
yjzc 一介之才
yjss 一介书生
yrjg 一仍旧贯
ydgs 一代国色
ydtj 一代天骄
ydzs 一代宗师
ydzc 一代宗臣
ydwz 一代文宗
ydxr 一代新人
ydkm 一代楷模
ydtz 一代谈宗
ydfl 一代风流
yddc 一代鼎臣
yyds 一以当十
yydb 一以当百
yygz 一以贯之
yjyj 一件一件
yjsq 一件事情
yjhs 一件好事
yjxs 一件小事
yfxr 一份信任
yfgv 一份关爱
yfvn 一份安宁
yfkr 一份宽容
yfgq 一份感情
yftv 一份提案
yfwj 一份文件
yfvx 一份爱心
yfqg 一份牵挂
yflw 一份礼物
yfdc 一份调查
yftz 一份通知
yysg 一优双高
yhvj 一会儿就
yhgf 一会功夫
yhhl 一会回来
ywns 一位女士
yttx 一体同心
yfcs 一佛出世
yyjs 一依旧式
ycyh 一倡一和
ycst 一倡三叹
ycbh 一倡百和
ypzj 一偏之见
ypzl 一偏之论
yfzx 一傅众咻
yvbn 一儿半女
yyfs 一元复始
yydw 一元大武
yydb 一元夺宝
yyfc 一元方程
ydzz 一党专制
ydzz 一党专政
ygym 一公一母
ybyz 一兵一卒
yzqd 一再强调
yzsm 一再说明
yjsf 一决胜负
yjcx 一决雌雄
yjgx 一决高下
ylyr 一冷一热
yjjz 一击即中
yjjk 一击即溃
yjbs 一击必杀
yjbm 一击毙命
yjzm 一击致命
ydyq 一刀一枪
ydld 一刀两断
ydld 一刀两段
ydbm 一刀毙命
yfyl 一分一厘
yfyh 一分一毫
yfym 一分一秒
yfwv 一分为二
yfsh 一分收获
yfgy 一分耕耘
yfzn 一分钟内
yfzq 一分钟前
yqyq 一切一切
yqww 一切万物
yqdx 一切东西
yqsq 一切事情
yqcy 一切从严
yqcj 一切从简
yqzs 一切众生
yqll 一切力量
yqbf 一切办法
yqkn 一切可能
yqhg 一切后果
yqrc 一切如常
yqvh 一切安好
yqvp 一切安排
yqgz 一切工作
yqql 一切权利
yqzc 一切正常
yqjk 一切皆空
yqfy 一切费用
yqdz 一切都在
yqdy 一切都已
yqds 一切都是
yqwt 一切问题
yqsl 一切顺利
yzyx 一则以喜
yzyj 一则以惧
yblk 一别两宽
ybjn 一别经年
ycnj 一刹那间
ykbt 一刻不停
ykqj 一刻千金
yqyh 一前一后
yjzr 一剑之任
yjfh 一剑封喉
ylcd 一力承当
yjsj 一加手机
ydbd 一动不动
yljy 一劳久逸
ylyy 一劳永逸
yyzf 一勇之夫
ybzn 一包在内
yblt 一包辣条
yhsg 一化三改
ykjh 一匡九合
yktx 一匡天下
yqwy 一千万元
yqdg 一千多个
yqdn 一千多年
yqnq 一千年前
ybyb 一半一半
yzzt 一卒之田
ykyk 一卡一卡
ywbq 一卧不起
ylyh 一厘一毫
yxqy 一厢情愿
yqbh 一去不回
yqbf 一去不返
yqlz 一去了之
yslh 一双两好
yfqd 一反其道
yfct 一反常态
yfjw 一反既往
yfqj 一发千钧
yfpd 一发破的
ybvw 一变而为
ykyk 一口一口
ykys 一口一声
ykss 一口三舌
yklc 一口两匙
ykts 一口同声
ykty 一口同音
ykyd 一口咬定
ykvq 一口恶气
ykdy 一口答应
yklx 一口老血
ygnv 一古脑儿
yjlj 一句两句
yjmy 一句名言
ytzj 一台主机
ytdn 一台电脑
yybz 一叶扁舟
yypz 一叶扁舟
yybq 一叶报秋
yyzq 一叶知秋
yybm 一叶蔽目
yyms 一叶迷山
yyzm 一叶障目
yhwj 一号文件
ytfx 一同分享
ytqw 一同前往
ytlq 一同离去
ytjr 一同进入
ymyx 一名优秀
ymhg 一名合格
ymcy 一名成员
ymnz 一名男子
ytwk 一吐为快
yxrc 一向如此
yyyy 一吟一咏
yfbs 一吠百声
yxyc 一吸一吹
ycyx 一吹一吸
ycyc 一吹一唱
yydj 一员大将
ywqj 一味迁就
yhvj 一呵而就
yhyx 一呼一吸
yhzn 一呼再喏
yhby 一呼百应
yhbn 一呼百诺
ymzr 一命之荣
ymwh 一命呜呼
ymgt 一命归天
ymgx 一命归西
ymgy 一命归阴
ymmh 一命鸣呼
yyys 一咏一觞
ypbs 一品白衫
yhvs 一哄而上
yhvs 一哄而散
yhvq 一哄而起
ycyh 一唱一和
ycst 一唱三叹
ycbh 一唱百和
ypyx 一喷一醒
yyzc 一噎止餐
ypyx 一嚬一笑
ytlm 一团乱麻
ythq 一团和气
ytqh 一团漆黑
ygsg 一国三公
yglz 一国两制
yglz 一国两智
ygzz 一国之主
ygzj 一国之君
ydjm 一地鸡毛
yczz 一场战争
yccm 一场春梦
ycjl 一场激烈
ycxj 一场虚惊
ycwh 一场误会
yzyq 一坐一起
yzjq 一坐尽倾
yzjj 一坐尽惊
yzjj 一坐皆惊
ytgz 一塌刮子
ytht 一塌糊涂
ytht 一塌胡涂
yqzg 一墙之隔
ysbk 一声不吭
ysbx 一声不响
yslx 一声令下
ystx 一声叹息
ysjx 一声巨响
ysct 一声长叹
yswh 一声问候
yhqj 一壶千金
ykqj 一壸千金
ykyq 一夔一契
ykyz 一夔已足
yxyz 一夕一朝
yxzj 一夕之间
yyzj 一夜之间
yycm 一夜成名
yywm 一夜无眠
yybf 一夜暴富
yybt 一夜白头
yyfl 一夜风流
ydyx 一大一小
ydjz 一大家子
ydpr 一大批人
ydss 一大损失
ydzv 一大早儿
ydbq 一大笔钱
ydbf 一大部分
ydnt 一大难题
ytyc 一天一充
ytyd 一天一地
ytyy 一天一夜
ytyt 一天一天
ytsd 一天三顿
ytlt 一天两天
ytzh 一天之后
ytyh 一天以后
ytdw 一天到晚
yttd 一天天的
ytzs 一天早上
ytsj 一天时间
ytxd 一天星斗
ytws 一天晚上
yfyq 一夫一妻
yfzy 一夫之勇
yfzy 一夫之用
yfdq 一夫多妻
yfdg 一夫当关
ytvc 一头儿沉
ytws 一头雾水
ytyt 一套一套
yhbh 一好百好
yrwx 一如往昔
yrjw 一如既往
yrjw 一如继往
yqdf 一妻多夫
ykbd 一孔不达
ykzj 一孔之见
yzyj 一字一句
yzyb 一字一板
yzyl 一字一泪
yzyz 一字一珠
yzyd 一字一顿
yzbc 一字不差
yzby 一字不易
yzbl 一字不漏
yzbg 一字不苟
yzbl 一字不落
yzzc 一字之差
yzzs 一字之师
yzjj 一字兼金
yzqq 一字千秋
yzqj 一字千金
yzqj 一字千钧
yzpk 一字排开
yzbk 一字摆开
yzbb 一字褒贬
yzlc 一字连城
yzcc 一字长城
yzcs 一字长蛇
yxjh 一学就会
ygbz 一官半职
ydyd 一定一定
ydbh 一定不会
ydbx 一定不想
ydby 一定不易
ydbs 一定不是
ydby 一定不移
ydbn 一定不能
ydby 一定不要
ydzg 一定之规
ydyh 一定也会
ydys 一定也是
ydhy 一定会有
ydky 一定可以
ydcz 一定存在
ydjs 一定就是
ydyx 一定影响
ydsl 一定数量
ydsj 一定时间
ydsg 一定是个
ydsy 一定是有
ydsy 一定是要
ydmy 一定没有
ydcd 一定程度
ydng 一定能够
ydfw 一定范围
ydyb 一定要把
ydys 一定要是
ydyy 一定要有
ydyk 一定要看
ydds 一定都是
ydjd 一定阶段
ydnd 一定难度
yspj 一审判决
ysfy 一审法院
ysyt 一室一厅
yssc 一室生春
yjyh 一家一火
yjyj 一家一计
yjsk 一家三口
yjlz 一家两制
yjlk 一家两口
yjzz 一家之主
yjzz 一家之作
yjzx 一家之学
yjzy 一家之言
yjzj 一家之计
yjzl 一家之论
yjzs 一家之说
yjzc 一家之辞
yjzz 一家之长
yjwk 一家五口
yjgs 一家公司
yjsk 一家四口
yjty 一家团圆
yjdx 一家大小
yjzr 一家子人
yjwv 一家无二
yjdd 一家独大
yjjs 一家眷属
yjlx 一家老小
yjfd 一家饭店
yhrc 一寒如此
ycdx 一寸丹心
yczp 一寸照片
yccx 一寸赤心
ydff 一对夫妇
ydfq 一对夫妻
ydql 一对情侣
yszd 一射之地
yjnq 一将难求
yxsq 一小时前
yxbf 一小部分
ycbd 一尘不到
ycbr 一尘不染
ycbz 一尘不缁
yslm 一尸两命
ypgz 一屁股债
yzss 一展身手
yzfc 一展风采
ysys 一山一水
yszg 一山之隔
yssq 一岁三迁
ysjq 一岁九迁
yszs 一岁再赦
yszs 一岁载赦
ygsz 一岗双责
yzyy 一左一右
yclv 一差两讹
ycvw 一差二悮
ycvw 一差二误
ycvc 一差二错
ycbc 一差半错
yjzl 一己之利
yjzl 一己之力
yjzs 一己之私
yjzj 一己之见
yjzy 一己之言
yjsl 一己私利
yfsf 一帆顺风
yffs 一帆风顺
ylym 一帘幽梦
ydyl 一带一路
ydvg 一带而过
yxzd 一席之地
yftp 一幅图片
ygyf 一干一方
ygvj 一干二净
ygrf 一干人犯
ygrd 一干人等
ypvd 一平二调
ypfm 一平方米
ynyd 一年一度
ynln 一年两年
ynzn 一年之内
ynyn 一年以内
yndt 一年到头
ynbz 一年半载
ynsj 一年四季
yndl 一年多来
ynsr 一年收入
ynsj 一年时间
ynjs 一年级生
ybcl 一并处理
yclh 一床两好
yyjq 一应俱全
yfly 一府两院
yzcc 一座城池
yzjj 一座皆惊
ylrs 一廉如水
yksj 一开始就
ysyy 一式一样
yssf 一式三份
yslf 一式两份
yssf 一式四份
ycyz 一弛一张
yzyc 一张一弛
yzzp 一张照片
yzbz 一张白纸
yzzt 一张纸条
ytzq 一弹指顷
ycwr 一彻万融
ywqs 一往情深
ywwq 一往无前
ywzq 一往直前
ywvs 一往而深
ylpd 一律平等
ydzg 一得之功
ydzy 一得之愚
ydzj 一得之见
ydyx 一德一心
yxyl 一心一力
yxyd 一心一德
yxyy 一心一意
yxyf 一心一腹
yxyj 一心一计
yxyl 一心一路
yxwg 一心为公
yxvy 一心二用
yxtt 一心同体
yxtg 一心同功
yxtg 一心同归
yxxy 一心想要
yxwv 一心无二
yrzr 一忍再忍
ynzc 一念之差
ynzw 一念之误
ynzc 一念之错
ynzj 一念之间
ynjc 一念及此
ynzx 一怒之下
ynvq 一怒而去
yxyy 一息奄奄
yxsc 一息尚存
ybyx 一悲一喜
yjyz 一惊一乍
yygx 一意孤行
ylyl 一愣一愣
ycyl 一成一旅
ycbb 一成不变
ycby 一成不易
yzzh 一战之后
yzyh 一战以后
yzfs 一战封神
yzcg 一战成功
yfyt 一房一厅
ysyj 一手一脚
ysyz 一手一足
ysjh 一手交货
ysjq 一手交钱
ysbb 一手包办
ysbl 一手包揽
yshp 一手好牌
ystt 一手托天
ysdp 一手独拍
yszt 一手遮天
ysvg 一扫而光
ysvk 一扫而空
ysvg 一扫而过
ypgb 一批干部
yplq 一批录取
yjzc 一技之长
yjbs 一技傍身
ybhs 一把好手
ybhp 一把好牌
ybnj 一把年纪
ybzz 一把抓住
ybyz 一把椅子
ybsn 一把死拿
ybyc 一把钥匙
ypzt 一抔之土
ypht 一抔黄土
yqvg 一抢而光
yqvk 一抢而空
ypls 一拍两散
ypjh 一拍即合
ypvs 一拍而散
ytzt 一拖再拖
yzys 一招一式
yzbs 一招半式
yzbm 一招毙命
yzzm 一招致命
ybtd 一拜天地
yyvs 一拥而上
yyvr 一拥而入
ypzl 一拼之力
yhjz 一挥九制
yhvj 一挥而就
yhvc 一挥而成
ytjp 一捅就破
ysjs 一损俱损
ytjj 一探究竟
yjrj 一接如旧
ytls 一推两搡
yzqk 一掷乾坤
yzqj 一掷千金
yzbw 一掷百万
ylbs 一揽包收
ydyc 一搭一唱
ydyd 一搭一档
ydly 一搭两用
ycyc 一撮一撮
yzyz 一撮一撮
yzbj 一支半节
yggz 一改故辙
ywyw 一文一武
ywbz 一文不值
ywbm 一文不名
ywrm 一文如命
ybbd 一斑半点
ybkb 一斑窥豹
yfzr 一方之任
yfyn 一方有难
yfst 一方水土
yfms 一方面是
ywkq 一无可取
ywjd 一无忌惮
ywsq 一无所取
ywsh 一无所好
ywsd 一无所得
ywsc 一无所成
ywsy 一无所有
ywsq 一无所求
ywsz 一无所知
ywsn 一无所能
ywsh 一无所获
ywsc 一无所长
ywsw 一无所闻
ywsc 一无是处
ywcw 一无长物
yrwj 一日万几
yrwj 一日万幾
yrwj 一日万机
yrwl 一日万里
yrsf 一日三复
yrss 一日三岁
yrsy 一日三月
yrsx 一日三省
yrsq 一日三秋
yrsf 一日三覆
yrsc 一日三餐
yrbj 一日不见
yrws 一日为师
yrzg 一日之功
yrzh 一日之寒
yrzc 一日之长
yrzz 一日之长
yrzy 一日之雅
yrjq 一日九迁
yrqz 一日千丈
yrql 一日千里
yrss 一日身死
ydyx 一旦一夕
ysyk 一时一刻
yssk 一时三刻
yszk 一时之快
yszq 一时之权
yszx 一时之秀
yszx 一时之选
yszj 一时之间
ysbz 一时伯仲
ysxq 一时兴起
yscd 一时冲动
ysqz 一时千载
ysbh 一时半会
ysbk 一时半刻
ysbs 一时半晌
ysbs 一时半霎
ysxy 一时戏言
yswl 一时无两
ysqy 一时权宜
ysdb 一时独步
yssh 一时疏忽
ysht 一时糊涂
ysys 一时语塞
yxbd 一星半点
yxqh 一星期后
yhvg 一晃而过
yhym 一晦一明
